from_baseline	to_baseline	change	old_value	new_value	path
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	removed_from_dirty_set	modified_unstaged		crates/citry_template_parser/README.md
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	head_blob_changed	1dcec8a9a1dd0707297d72cddf9241c4ee5e4687	a7c72015caf59d0f42dd0ba3d12ea62ea2cdf273	crates/citry_template_parser/src/ast.rs
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	status_changed	modified_staged_and_unstaged	modified_unstaged	crates/citry_template_parser/src/ast.rs
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	head_blob_changed	b29cd3fc1b6a89f6ad4a13945a6ec4c691690448	743fb01bf013d876382fd0ffd237a7e299b41855	crates/citry_template_parser/src/compiler.rs
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	index_blob_changed	b29cd3fc1b6a89f6ad4a13945a6ec4c691690448	743fb01bf013d876382fd0ffd237a7e299b41855	crates/citry_template_parser/src/compiler.rs
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	head_blob_changed	7633efae474ff32143107fd3e171592b56da4f4e	096dc0df991af0a039caf352a6df22ad517d5511	crates/citry_template_parser/src/constants.rs
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	index_blob_changed	7633efae474ff32143107fd3e171592b56da4f4e	096dc0df991af0a039caf352a6df22ad517d5511	crates/citry_template_parser/src/constants.rs
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	removed_from_dirty_set	modified_staged		crates/citry_template_parser/src/lang/python.rs
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	removed_from_dirty_set	added_staged		crates/citry_template_parser/tests/tag_compiler_client_directives.rs
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	removed_from_dirty_set	modified_staged		crates/citry_template_parser/tests/tag_compiler_dynamic.rs
