from_baseline	to_baseline	change	old_value	new_value	path
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	removed_from_dirty_set	modified_unstaged		crates/citry_template_parser/tests/tag_compiler.rs
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	removed_from_dirty_set	untracked		crates/citry_template_parser/tests/tag_parser_boundary_handlers.rs
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	removed_from_dirty_set	untracked		crates/citry_template_parser/tests/tag_parser_client_directives.rs
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	removed_from_dirty_set	modified_unstaged		crates/citry_template_parser/tests/tag_parser_comments.rs
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	removed_from_dirty_set	untracked		crates/citry_template_parser/tests/tag_parser_control_flow_shorthand_errors.rs
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	removed_from_dirty_set	modified_unstaged		crates/citry_template_parser/tests/tag_parser_dynamic_attrs.rs
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	removed_from_dirty_set	modified_unstaged		crates/citry_template_parser/tests/tag_parser_expressions.rs
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	removed_from_dirty_set	modified_unstaged		crates/citry_template_parser/tests/tag_parser_fills.rs
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	removed_from_dirty_set	modified_unstaged		crates/citry_template_parser/tests/tag_parser_kwargs.rs
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	removed_from_dirty_set	untracked		crates/citry_template_parser/tests/tag_parser_nested_diagnostics.rs
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	removed_from_dirty_set	modified_unstaged		crates/citry_template_parser/tests/tag_parser_nested_templates.rs
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	removed_from_dirty_set	modified_unstaged		crates/citry_template_parser/tests/tag_parser_spreads.rs
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	removed_from_dirty_set	modified_unstaged		crates/citry_template_parser/tests/tag_parser_structure.rs
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	removed_from_dirty_set	modified_unstaged		crates/citry_template_parser/tests/tag_parser_user_rules.rs
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	removed_from_dirty_set	untracked		crates/citry_template_parser/tests/tag_parser_variable_scopes.rs
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	worktree_sha256_changed	94c70880fe5638a91ba75c8e626ca79e472dda3de8064ca5e1522eaf3676f298	193b49e03ef713bce3aedbe3cf8af32c80d5b52376f3230997aa8c2ad04a30c9	docs/design/migration_djc_tests.md
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	worktree_sha256_changed	e9fb5f1420de158c3e5b5a362d507adacc2302f89320473a6c0b6604f7a06b59	0e72aa6771ab409f99d5d017edccd0c56e19f753abc5f78089c377ffaab9d27d	docs/design/ui_library_plan.md
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	worktree_sha256_changed	b094c23dd4c012d29b69d5556741fc9f03b063a5a7fb6abca63d61a6e0d317ef	0cfa287403b8b79fc278560e2cdb476c60f1a9ea995d8910baf5fc59da641923	docs/design/ui_research/architecture-options.md
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	worktree_sha256_changed	d635bb7144853aa8ffd1f4fa4f3a1d9f67230eb16f2ad9d036bdb3abca81f9cc	fdd117e2c6863be2000f662cef2976f87a391529322539b071c1d62fc480ad7d	docs/design/ui_research/citry-fit-matrix.md
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	worktree_sha256_changed	9438d3864fe58bff6d47da114d3102d4703528c23c05a1d4a4d2e653be07a9e7	6199546b65e965326bc9f94385d85747591dfc7e1e5ca23611e1d0dc29d7f467	docs/design/ui_research/README.md
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	worktree_sha256_changed	0a0dc2cff4ab77bdc3609ab7ecea3ec324a71e6ff2235fc2769da591ee3ae0c1	3c62c5c695c67b2324abf7445a4ee99e2bf471147b6fc332cd98df965257e6c2	docs/design/v1_beta_launch_plan.md
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	worktree_sha256_changed	ea46b85fe8ac71a2e505b2ca54a62eb807a04aa50e2103342d64fce1f59df532	e9029bb6a873f2c51578db7aa5451f0f4af34db91b6c5765a29c3f89bf996a1b	docs/design/v1_beta_research/baseline_delta.tsv
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	worktree_sha256_changed	20f8ed6f55e6f737cd86c1bcd881453fbb5e428a97650118e3c7cf0d826c2700	3b115ae8d3f3ab36c51c6cc0a36d72b047419e48e22b177fbc2eff0871e39636	docs/design/v1_beta_research/baseline_history.tsv
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	worktree_sha256_changed	2d501317482b28cc280b60d25e44df6dce12ff8fb0618cf934fcbbd31fb1dfd3	3b5b5ef5cb84942d142e3ed394d169395459af7a8386f92d195169e5dfbb09ff	docs/design/v1_beta_research/change_ledger.tsv
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	worktree_sha256_changed	325110eb89b60138552b6be53af335c1e1904af35342f0e945bd164636842e47	66ad5962254263129ec1cb95cedd34393b86d2daab53cfd91e321aa8064fb524	docs/design/v1_beta_research/design_artifact_inventory.tsv
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	worktree_sha256_changed	b9b54c5f6fb00b51fa72c40fdc3ad8c74bf43baf2147b70c6d38adebdda20d5d	6f35b1156be24e9c71568fe0e04e649f46db913503620eb4964b609fe8e771ea	docs/design/v1_beta_research/evidence_log.md
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	worktree_sha256_changed	ff37ce0e50f5a04ad3992cb0c1241643888c86cdfb935c9be74e39662c546206	493f026f3db75d2bab091693587805828b9d307cec79dbb3cb2d02388bd08a0f	docs/design/v1_beta_research/README.md
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	worktree_sha256_changed	self_reference_not_hashed	7cf81633e45236749a957cc136ed8d17937b9682c2f35b5b820272d14acc5b35	docs/design/v1_beta_research/review_baseline_fingerprints.tsv
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	path_added		untracked	docs/design/v1_beta_research/stage1_baseline_fingerprints.tsv
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	path_added		untracked	docs/design/v1_beta_research/stage1_baseline.md
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	worktree_sha256_changed	5f89bc5932418142847741de6dc8ca63a2573424da1819e09bd00450b8a418cf	d622605392e9f3601884b4a8a090d42a7149e5e54f3c9ce62d473efd16e0d98c	docs/design/v1_beta_research/workflow_inventory.tsv
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	removed_from_dirty_set	modified_unstaged		packages/py/citry_core/tests/test_safe_eval.py
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	removed_from_dirty_set	untracked		packages/py/citry_core/tests/test_template_parser_nested_diagnostics.py
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	worktree_sha256_changed	b56b318afd8de5c75c8f21eaf15ebdfb2cd316559879fc9d2ec8aa718846e986	3fb502d531e9b95ea5225ddc130943204c56145e0952075923eb8a1350e4a885	packages/py/citry_ui/citry_ui/_registration.py
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	worktree_sha256_changed	2275fe9e3bc6b0966092a36670d074f6e69bbd5c15702f93ddf42aa001bef9de	6768bd234c2d8b8c930cf24f28b3980d7cee08fe4a1f0d30255662b8b0b2a85f	packages/py/citry_ui/tests/test_citry_ui_registration.py
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	worktree_sha256_changed	55e52c460e68516accccdf23f8bae420e775d074f4806fb560f4054544bc6dc5	05782aedb0e3f56d5ca10604ff57992e1621ae497da44cca5f06b2229b5f968a	packages/py/citry/citry/ext/events/actions.py
B0V-20260723T134757Z-558b9735	B1-20260723T141813Z-cd177d74	worktree_sha256_changed	c0ed879f82fd88b37ab647760264ff0f71680535420309b3ef7d532426703cd1	48846b3e4b9cf6a7f0a6f3a7d5687e72ebe60c6b762fd18c932407c18d4c9454	packages/py/citry/tests/test_events_actions.py
