# Citry v1 beta Stage 0 change ledger
# Baseline: B0-20260723T132129Z-53aec721
# Snapshot command: git -c core.quotepath=false status --porcelain=v1 --untracked-files=all
# provisional_path_class is derived from path/status only and must be verified in later stages.
status	path	tracked_state	size_bytes	provisional_path_class	ownership_state	baseline
 M	docs/design/component_rendering.md	tracked_changed		documentation	unassigned	B0-20260723T132129Z-53aec721
 M	docs/design/component_slots.md	tracked_changed		documentation	unassigned	B0-20260723T132129Z-53aec721
 M	docs/design/source_languages.md	tracked_changed		documentation	unassigned	B0-20260723T132129Z-53aec721
 M	docs/template-syntax.md	tracked_changed		documentation	unassigned	B0-20260723T132129Z-53aec721
 M	docs_site/__init__.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	docs_site/build.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	docs_site/cli.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	docs_site/components/doc_page.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	docs_site/config.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 D	docs_site/directives.py	tracked_deleted		deletion	unassigned	B0-20260723T132129Z-53aec721
 M	docs_site/examples.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	docs_site/fence_protection.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	docs_site/frontmatter.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	docs_site/nav.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	docs_site/paths.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	docs_site/pipeline.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	docs_site/serve.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	docs_site/static/css/site.css	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	docs_site/static/css/tokens.css	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	docs_site/static/js/search.js	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	docs_site/tests/test_build.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	docs_site/tests/test_chrome.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 D	docs_site/tests/test_directives.py	tracked_deleted		deletion	unassigned	B0-20260723T132129Z-53aec721
 M	docs_site/tests/test_examples.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	docs_site/tests/test_pipeline.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	docs_site/tests/test_serve.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
